acq_year,groupname,count
2011,cacau do tarauaca,2
2012,cacau do tarauaca,1
2013,cacau do tarauaca,5
2016,cacau do tarauaca,7
2019,cacau do tarauaca,3
2005,cachoeira dos inßcios,1
2002,cachoeira seca,101
2003,cachoeira seca,162
2004,cachoeira seca,195
2005,cachoeira seca,201
2006,cachoeira seca,328
2007,cachoeira seca,172
2008,cachoeira seca,251
2009,cachoeira seca,202
2010,cachoeira seca,191
2011,cachoeira seca,102
2012,cachoeira seca,243
2013,cachoeira seca,39
2014,cachoeira seca,172
2015,cachoeira seca,228
2016,cachoeira seca,104
2017,cachoeira seca,353
2018,cachoeira seca,178
2019,cachoeira seca,184
2002,cachoeirinha,130
2003,cachoeirinha,18
2004,cachoeirinha,21
2005,cachoeirinha,10
2006,cachoeirinha,31
2007,cachoeirinha,15
2008,cachoeirinha,18
2009,cachoeirinha,1
2010,cachoeirinha,9
2011,cachoeirinha,5
2012,cachoeirinha,17
2013,cachoeirinha,4
2014,cachoeirinha,10
2015,cachoeirinha,16
2016,cachoeirinha,5
2017,cachoeirinha,16
2018,cachoeirinha,3
2019,cachoeirinha,58
2002,cacique doble,2
2004,cacique doble,4
2005,cacique doble,1
2006,cacique doble,2
2007,cacique doble,1
2008,cacique doble,1
2009,cacique doble,8
2010,cacique doble,1
2012,cacique doble,1
2013,cacique doble,1
2014,cacique doble,1
2015,cacique doble,2
2016,cacique doble,4
2017,cacique doble,2
2019,cacique doble,1
2001,cacique fontoura,17
2002,cacique fontoura,15
2003,cacique fontoura,18
2004,cacique fontoura,20
2005,cacique fontoura,45
2006,cacique fontoura,22
2007,cacique fontoura,93
2008,cacique fontoura,47
2009,cacique fontoura,7
2010,cacique fontoura,117
2011,cacique fontoura,3
2012,cacique fontoura,38
2013,cacique fontoura,6
2014,cacique fontoura,20
2015,cacique fontoura,31
2016,cacique fontoura,29
2017,cacique fontoura,67
2018,cacique fontoura,10
2019,cacique fontoura,8
2004,caieiras velha,2
2006,caieiras velha,12
2007,caieiras velha,12
2008,caieiras velha,6
2009,caieiras velha,6
2010,caieiras velha,5
2011,caieiras velha,5
2012,caieiras velha,6
2013,caieiras velha,3
2014,caieiras velha,5
2015,caieiras velha,4
2016,caieiras velha,1
2017,caieiras velha,1
2018,caieiras velha,1
2002,caititu,6
2003,caititu,20
2004,caititu,7
2005,caititu,12
2006,caititu,16
2007,caititu,14
2008,caititu,4
2009,caititu,4
2010,caititu,44
2011,caititu,2
2012,caititu,6
2013,caititu,4
2014,caititu,4
2015,caititu,4
2016,caititu,3
2017,caititu,5
2018,caititu,4
2019,caititu,9
