ACQ_YEAR,Name,n()
2016,Barata Livramento,9
2017,Barata Livramento,5
2018,Barata Livramento,8
2019,Barata Livramento,6
2001,Barpo de Antonina,2
2002,Barpo de Antonina,18
2003,Barpo de Antonina,6
2004,Barpo de Antonina,17
2005,Barpo de Antonina,2
2006,Barpo de Antonina,18
2007,Barpo de Antonina,7
2008,Barpo de Antonina,2
2009,Barpo de Antonina,3
2010,Barpo de Antonina,2
2011,Barpo de Antonina,3
2013,Barpo de Antonina,2
2014,Barpo de Antonina,1
2015,Barpo de Antonina,5
2016,Barpo de Antonina,3
2017,Barpo de Antonina,2
2018,Barpo de Antonina,3
2019,Barpo de Antonina,4
2000,Barra Velha,2
2001,Barra Velha,18
2002,Barra Velha,48
2003,Barra Velha,66
2004,Barra Velha,20
2005,Barra Velha,31
2006,Barra Velha,5
2007,Barra Velha,10
2008,Barra Velha,42
2009,Barra Velha,20
2010,Barra Velha,31
2011,Barra Velha,4
2012,Barra Velha,16
2013,Barra Velha,39
2014,Barra Velha,13
2015,Barra Velha,50
2016,Barra Velha,33
2017,Barra Velha,5
2018,Barra Velha,13
2019,Barra Velha,55
2002,Barreira da Misspo,5
2003,Barreira da Misspo,9
2004,Barreira da Misspo,6
2006,Barreira da Misspo,9
2007,Barreira da Misspo,2
2008,Barreira da Misspo,2
2009,Barreira da Misspo,2
2010,Barreira da Misspo,9
2011,Barreira da Misspo,2
2012,Barreira da Misspo,4
2013,Barreira da Misspo,5
2014,Barreira da Misspo,7
2015,Barreira da Misspo,4
2016,Barreira da Misspo,8
2017,Barreira da Misspo,11
2018,Barreira da Misspo,6
2019,Barreira da Misspo,5
2004,Barreirinha,2
2005,Barreirinha,1
2008,Barreirinha,2
2011,Barreirinha,1
2012,Barreirinha,1
2013,Barreirinha,1
2014,Barreirinha,1
2015,Barreirinha,2
2017,Barreirinha,3
2018,Barreirinha,1
2012,Barro Alto,1
2017,Barro Alto,1
2000,Batelpo,6
2001,Batelpo,16
2002,Batelpo,64
2003,Batelpo,123
2004,Batelpo,228
2005,Batelpo,129
2006,Batelpo,118
2007,Batelpo,510
2008,Batelpo,60
2009,Batelpo,56
2010,Batelpo,78
2011,Batelpo,19
2012,Batelpo,25
2013,Batelpo,28
2014,Batelpo,135
2015,Batelpo,37
2016,Batelpo,26
2017,Batelpo,14
2018,Batelpo,16
2019,Batelpo,11
2001,Batovi,2
2004,Batovi,6
2007,Batovi,1
2010,Batovi,30
2011,Batovi,2
2013,Batovi,1
2015,Batovi,2
2018,Batovi,2
2019,Batovi,3
2003,Betania,1
2004,Betania,2
2005,Betania,11
2006,Betania,6
2007,Betania,3
2008,Betania,7
2009,Betania,1
2010,Betania,13
2011,Betania,2
2012,Betania,6
2013,Betania,1
2014,Betania,2
2015,Betania,9
2016,Betania,3
2017,Betania,12
2018,Betania,3
2019,Betania,4
2001,Boa Vista - PR,1
2002,Boa Vista - PR,13
2003,Boa Vista - PR,9
2004,Boa Vista - PR,5
2005,Boa Vista - PR,1
2006,Boa Vista - PR,3
2009,Boa Vista - PR,3
2010,Boa Vista - PR,1
2011,Boa Vista - PR,5
2012,Boa Vista - PR,3
2014,Boa Vista - PR,1
2016,Boa Vista - PR,5
2017,Boa Vista - PR,3
2018,Boa Vista - PR,2
2019,Boa Vista - PR,2
2001,Boca do Acre,1
2002,Boca do Acre,7
2003,Boca do Acre,11
2004,Boca do Acre,10
2005,Boca do Acre,10
2006,Boca do Acre,8
2007,Boca do Acre,14
2008,Boca do Acre,4
2009,Boca do Acre,1
2010,Boca do Acre,16
2011,Boca do Acre,2
2012,Boca do Acre,6
2013,Boca do Acre,1
2014,Boca do Acre,8
2015,Boca do Acre,11
2016,Boca do Acre,15
2017,Boca do Acre,7
2018,Boca do Acre,8
2019,Boca do Acre,9
2003,Bom Jesus,1
2005,Bom Jesus,2
2009,Bom Jesus,1
2001,Boqueirpo,5
2002,Boqueirpo,2
2003,Boqueirpo,11
2004,Boqueirpo,7
2005,Boqueirpo,3
2006,Boqueirpo,6
2007,Boqueirpo,10
2008,Boqueirpo,2
2009,Boqueirpo,8
2010,Boqueirpo,3
2011,Boqueirpo,4
2012,Boqueirpo,3
2013,Boqueirpo,8
2014,Boqueirpo,11
2015,Boqueirpo,11
2016,Boqueirpo,8
2017,Boqueirpo,9
2018,Boqueirpo,10
2019,Boqueirpo,13
2002,Braganta-Marituba,4
2003,Braganta-Marituba,5
2004,Braganta-Marituba,2
2005,Braganta-Marituba,1
2006,Braganta-Marituba,1
2007,Braganta-Marituba,1
2008,Braganta-Marituba,5
2009,Braganta-Marituba,1
2010,Braganta-Marituba,1
2014,Braganta-Marituba,1
2015,Braganta-Marituba,10
2016,Braganta-Marituba,3
2006,Brejo do Burgo,2
2001,Buriti,2
2002,Buriti,15
2003,Buriti,4
2004,Buriti,6
2005,Buriti,11
2006,Buriti,9
2007,Buriti,12
